"PSRAID","SAMPLE","INT_DATE","FCALL","ATTEMPT","REFUSAL","LANG","CREGION","STATE","DENSITY","USR","SCREGION","SSTATE","SUSR","IGENDER","IRACE","ILOC","FORM","LLITEXT","QS1","Q1","Q2","Q2_OE1","Q2_OE2","Q2_OE3","Q3","Q3A","Q4","Q5","Q5A","Q5A_OE1","Q5A_OE2","Q5A_OE3","Q7","Q8","Q9A","Q9B","Q9C","Q9D","Q11","Q12","Q13","SEX","AGE","RECAGE","RECAGE2","EDUC2","RECEDUC","HISP","RACE3M1","RACE3M2","RACE3M3","RACE3M4","RACECMB","RACETHN","PARENT","PARTY","PARTYLN","IDEO","HH1","HH3","QL1","QL1A","QC1","LC2","LC3","PHONEUS2","PHONEUSE","COWEIGHT","LLWEIGHT","CWEIGHT","WEIGHT","Q2VB","Q5AVB"
100309,"Landline",121712,121217,2,"No","English","South","Tennessee","4","Urban","South","Tennessee","Urban","Female","Black or African-American","PDS - Virginia","Form 2","Female first",NA,"Dissatisfied","Answer given ","Morality/religion/family values (unsp)",NA,NA,"Control gun ownership","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","Broader problems","Answer given","The economy/Jobs","General lack of/decline in morals or  religion/Breakdown of social structure",NA,"Put people","More dangerous","Favor","Oppose","Favor","Oppose","Democratic Party","Too much","No","Female","55","55-64","50-64","Postgraduate or professional degree, including master","Coll+","No","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)","(VOL.) Native American/American Indian/Alaska Native",NA,NA,"Mixed Race","Other","No","Independent","Democrat","Moderate","1",NA,"Yes, have cell phone",NA,NA,"Some on a cell phone and some on a regular home phone",NA,"Dual from LL","Dual/few, some cell",1.47619047619048,2.17647058823529,NA,1.25,"THE COUNTRY HAS MOVED AWAY FROM ITS FOUNDING VALUES                                                                                                                                                                                                       ","COMBINATION OF ECONOMIC SITUATION, GODLESSNESS OF THE NATION                                                                                                                                                                                              "
100310,"Landline",121712,121217,1,"No","English","South","Alabama","2","Urban","South","Alabama","Urban","Female","Black or African-American","PDS - Virginia","Form 2","Male first",NA,"Dissatisfied","Don","Dont know/refused",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Don't know/Refused (VOL.)",NA,NA,NA,NA,"Don't know/Refused (VOL.)","More dangerous","Favor","Favor","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","No","Female","82","65+","65+","Postgraduate or professional degree, including master","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Republican",NA,"(VOL.) Don't know/Refused","1",NA,"Yes, have cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,"Dual from LL","Dual/few, some cell",1,1,NA,1,"                                                                                                                                                                                                                                                          ","                                                                                                                                                                                                                                                          "
100311,"Landline",121812,121217,3,"No","English","Midwest","Indiana","Highest","Urban","Midwest","Indiana","Urban","Female","Black or African-American","PDS - Virginia","Form 2","Female first",NA,"Dissatisfied","Answer given ","National debt/budget/deficit/balanced budget/Gov spending",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Don't know/Refused (VOL.)",NA,NA,NA,NA,"Put people","More dangerous","Favor","Oppose","Favor","Favor","Democratic Party","Too much","Yes","Female","74","65+","65+","High school graduate (Grade 12 with diploma or GED certificate)","HS grad","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Democrat",NA,"Liberal","1",NA,"Yes, have cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,"Dual from LL","Dual/few, some cell",2,1.94117647058824,NA,1.75,"THEYVE GOT TO GET THE DEFICIT STUFF PASSED                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                          "
100313,"Landline",121712,121217,1,"No","English","Midwest","Missouri","2","Suburban","Midwest","Missouri","Suburban","Female","Black or African-American","PDS - Virginia","Form 1","Female first",NA,"Satisfied","Answer given ","Economy (unsp)",NA,NA,"Control gun ownership","Yes, feel strongly","A little [OR]","Don't know/Refused (VOL.)",NA,NA,NA,NA,"Put people","More dangerous","Favor","Favor","Favor","Favor","Democratic Party","Too much","Yes","Female","75","65+","65+","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","Yes","Democrat",NA,"Liberal","3","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",1.85714285714286,2.11764705882353,NA,1.25,"THE ECONOMY OF THE MIDDLE CLASS                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                          "
100314,"Landline",121712,121217,1,"No","English","Midwest","Wisconsin","2","Urban","Midwest","Wisconsin","Urban","Male","Black or African-American","PDS - Virginia","Form 2","Male first",NA,"Satisfied","Answer given ","School shootings (Newtown, CT)","Gun control/too many guns",NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","Numbness/Disassociation/Desensitization/Life is not valued",NA,NA,"Put people","More dangerous","Favor","Favor","Favor","Favor","Democratic Party","Too much","No","Female","40","35-44","30-49","Postgraduate or professional degree, including master","Coll+","No","Asian or Asian-American (e.g., Asian Indian, Chinese, Filipino,  Vietnamese or other Asian origin groups)",NA,NA,NA,"Asian","Other","Yes","Democrat",NA,"Liberal","4","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",4.38095238095238,7.47058823529412,NA,2.66666666666667,"SHOOTING AT THE SCHOOL GUN CONTROL                                                                                                                                                                                                                        ","REFLECTS VERY LITTLE PATIENTS WITH EACH OTHER                                                                                                                                                                                                             "
100316,"Landline",121712,121217,1,"No","English","South","Texas","Lowest","Urban","South","Texas","Urban","Male","Black or African-American","PDS - Virginia","Form 1","Male first",NA,"Dissatisfied","Answer given ","Economy (unsp)","Housing market/foreclosures",NA,"Protect the right of Americans to own guns","Yes, feel strongly","A lot","Broader problems","Answer given","Family breakdown/Parental failures",NA,NA,"Protect people from becoming victims of crime [OR]","[VOL. DO NOT READ] Don't know/Refused","Favor","Oppose","Favor","Favor","Republican Party","Right amount","Yes","Female","43","35-44","30-49","Four year college or university degree/Bachelor","Coll+","No","(VOL.) Native American/American Indian/Alaska Native",NA,NA,NA,"Some other race","Other","Yes","Republican",NA,"Conservative","3","2","Yes, have cell phone",NA,NA,NA,"All or almost all calls on a cell phone","Dual from LL","Dual/most cell",5.61904761904762,5.35294117647059,NA,2.75,"THE ECONOMY. MY HOME VALUE DROPPED ABOUT 35%                                                                                                                                                                                                              ","THE INABILITY TO SEEK OUT HELP WHEN THEY NEED IT FOR THEIR KIDS.                                                                                                                                                                                          "
100318,"Landline",121812,121217,2,"No","English","South","Alabama","2","Rural","South","Alabama","Rural","Female","White","PDS - Virginia","Form 2","Male first",NA,"Dissatisfied","Answer given ","Economy (unsp)","Unemployment/lack of jobs/ Job cuts",NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","Fear of copycats/Fear that attention to case will give others ideas",NA,NA,"Protect people from becoming victims of crime [OR]","More dangerous","Oppose","Favor","Oppose","Oppose","Democratic Party","Too much","No","Male","56","55-64","50-64","High school graduate (Grade 12 with diploma or GED certificate)","HS grad","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","Yes","Democrat",NA,"Conservative","3","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",5.0952380952381,6.76470588235294,NA,3.625,"ECONOMY, JOBS                                                                                                                                                                                                                                             ","AFRAID OF A COPYCAT                                                                                                                                                                                                                                       "
100323,"Landline",121712,121217,1,"No","English","South","Oklahoma","Lowest","Rural","South","Oklahoma","Rural","Male","Black or African-American","PDS - Virginia","Form 2","Female first",NA,"Dissatisfied","Answer given ","Drugs/alcohol",NA,NA,"Control gun ownership","Yes, feel strongly","A little [OR]","Broader problems","Answer given","Guns/Lack of gun control/Access to guns/Access to assault weapons",NA,NA,"Put people","More dangerous","Favor","Favor","Favor","Favor","Both equally (VOL.)","Too much","No","Female","57","55-64","50-64","Some college, no degree includes community college","Some coll/Assoc degree","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Democrat",NA,"Moderate","1",NA,"Yes, have cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,"Dual from LL","Dual/few, some cell",1.14285714285714,1.23529411764706,NA,1.25,"THERES SO MANY PEOPLE ON DRUGS WHO CANT WORK                                                                                                                                                                                                              ","THE PROBLEM IS WE CANT KEEP GUNS OUT OF THE HANDS PEOPLE THAT SHOULDNT HAVE THEM                                                                                                                                                                          "
100324,"Landline",121912,121217,4,"Yes","English","South","Texas","Lowest","Rural","South","Texas","Rural","Female","White","PDS - Virginia","Form 1","Female first",NA,"Dissatisfied","Answer given ","National debt/budget/deficit/balanced budget/Gov spending",NA,NA,"Protect the right of Americans to own guns","Yes, feel strongly","A lot","Broader problems","Answer given","Lack of discipline/Lack of taking personal responsibility","Other",NA,"Protect people from becoming victims of crime [OR]","Safer [OR]","Oppose","Oppose","Oppose","Oppose","Republican Party","Too little","Yes","Male","67","65+","65+","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Independent","Republican","Very conservative","1",NA,"Yes, have cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,"Dual from LL","Dual/few, some cell",1,1,NA,1,"BUDGET DEFICIT                                                                                                                                                                                                                                            ","LACK OF DICIPLINE LACK OF LAW ENFORCEMENT                                                                                                                                                                                                                 "
100326,"Landline",121712,121217,1,"No","English","South","Florida","3","Urban","South","Florida","Urban","Male","Black or African-American","PDS - Virginia","Form 2","Female first",NA,"Satisfied","Answer given ","Finances/money",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","Guns/Lack of gun control/Access to guns/Access to assault weapons",NA,NA,"Put people","More dangerous","Favor","Favor","Favor","Favor","Democratic Party","Too much","No","Female","72","65+","65+","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Democrat",NA,"Liberal","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",1.85714285714286,2.35294117647059,NA,1.125,"FINACIAL ISSUES                                                                                                                                                                                                                                           ","THAT ITS TO EASY TO GET GUNS IN THIS COUNTRY                                                                                                                                                                                                              "
100329,"Landline",121712,121217,1,"No","English","Midwest","Iowa","Lowest","Rural","Midwest","Iowa","Rural","Male","White","PDS - Virginia","Form 2","Male first",NA,"Dissatisfied","Answer given ","Greed",NA,NA,"Control gun ownership","Don't know/Refused (VOL.)","A lot","Isolated acts",NA,NA,NA,NA,"Protect people from becoming victims of crime [OR]","More dangerous","Oppose","Oppose","Favor","Favor","Neither (VOL.)","Right amount","Yes","Female","69","65+","65+","Some college, no degree includes community college","Some coll/Assoc degree","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","(VOL.) No preference","Democrat","Moderate","1",NA,"Yes, have cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,"Dual from LL","Dual/few, some cell",1,1,NA,1,"GREED                                                                                                                                                                                                                                                     ","                                                                                                                                                                                                                                                          "
100332,"Landline",121712,121217,1,"No","English","Midwest","Kansas","2","Urban","Midwest","Kansas","Urban","Female","Black or African-American","PDS - Virginia","Form 1","Female first",NA,"Dissatisfied","Answer given ","Gun control/too many guns","Social Security","Medicare/Medicaid","Control gun ownership","Yes, feel strongly","A lot","Broader problems","Don","Don't know",NA,NA,"Put people","More dangerous","Favor","Oppose","Favor","Favor","Both equally (VOL.)","Too much","No","Female","59","55-64","50-64","High school graduate (Grade 12 with diploma or GED certificate)","HS grad","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Democrat",NA,"Liberal","2","2","Yes, have cell phone",NA,NA,NA,"All or almost all calls on a regular home phone","Dual from LL","Dual/few, some cell",4.52380952380952,5.05882352941176,NA,3.375,"THE USE OF GUNS BY UNSCRUPULOUS FOLKS. NOT HAPPY MESSING WITH SOCIAL SECURITY AND MEDICARE                                                                                                                                                                ","                                                                                                                                                                                                                                                          "
100335,"Landline",121712,121217,1,"No","English","South","Georgia","3","Suburban","South","Georgia","Suburban","Female","White","PDS - Virginia","Form 1","Female first",NA,"Satisfied","Answer given ","Economy (unsp)",NA,NA,"Protect the right of Americans to own guns","Yes, feel strongly","A lot","Isolated acts",NA,NA,NA,NA,"Protect people from becoming victims of crime [OR]","More dangerous","Oppose","Oppose","Oppose","Oppose","Republican Party","Too little","No","Male","37","35-44","30-49","High school graduate (Grade 12 with diploma or GED certificate)","HS grad","No","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,NA,NA,"Black","Black, non-Hisp","Yes","Independent","(VOL.) Other/Don't know/Refused","Moderate","3","2","No, do not","No",NA,NA,NA,"LLO","LLO",9.28571428571429,17.4705882352941,NA,8.375,"THE ECONOMY: I HAVE NOTHING TO COMMENT ON THAT.                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                          "
100337,"Landline",121712,121217,1,"No","English","Northeast","New Jersey","4","Suburban","Northeast","New Jersey","Suburban","Female","Black or African-American","PDS - Virginia","Form 2","Female first",NA,"Dissatisfied","Answer given ","Dissatisfaction with government/politics/Scandal/corruption in govt/Congress",NA,NA,"Protect the right of Americans to own guns","Yes, feel strongly","A lot","Isolated acts",NA,NA,NA,NA,"Don't know/Refused (VOL.)","[VOL. DO NOT READ] Don't know/Refused","Don't know/Refused (VOL.)","Oppose","Oppose","Oppose","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","No","Male","53","45-54","50-64","Two year associate degree from any college or university","Some coll/Assoc degree","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Independent","Republican","Moderate","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",4.9047619047619,6.35294117647059,NA,4.16666666666667,"POLITICS                                                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                          "
100349,"Landline",121712,121217,1,"No","English","South","Florida","2","Suburban","South","Florida","Suburban","Male","Hispanic","PDS - Virginia","Form 1","Female first",NA,"Dissatisfied","Answer given ","Economy (unsp)",NA,NA,"Protect the right of Americans to own guns","Yes, feel strongly","A lot","Isolated acts",NA,NA,NA,NA,"Put people","More dangerous","Favor","Oppose","Favor","Favor","Don't know/Refused (VOL.)","Too much","Yes","Female","71","65+","65+","Some college, no degree includes community college","Some coll/Assoc degree","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Democrat",NA,"Moderate","1",NA,"Yes, have cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,"Dual from LL","Dual/few, some cell",1.04761904761905,1.17647058823529,NA,1.125,"I THINK OUR ECONOMY                                                                                                                                                                                                                                       ","                                                                                                                                                                                                                                                          "
100352,"Landline",121712,121217,1,"No","English","South","North Carolina","3","Suburban","South","North Carolina","Suburban","Male","Black or African-American","PDS - Virginia","Form 1","Male first",NA,"Dissatisfied","Answer given ","Economy (unsp)",NA,NA,"Control gun ownership","Yes, feel strongly","A little [OR]","Broader problems","Answer given","Violence in media/culture/Violent news, video games, TV, movies",NA,NA,"Protect people from becoming victims of crime [OR]","More dangerous","Favor","Oppose","Favor","Favor","Democratic Party","Too much","Don't know/Refused (VOL.)","Male","49","45-54","30-49","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","Yes","Democrat",NA,"Moderate","5","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",2.57142857142857,4.23529411764706,NA,1.70833333333333,"THE ECONOMY                                                                                                                                                                                                                                               ","PREVALANCE OF VIOLENCE IN MEDIA                                                                                                                                                                                                                           "
100355,"Landline",121712,121217,1,"No","English","Midwest","Ohio","4","Suburban","Midwest","Ohio","Suburban","Male","Black or African-American","PDS - Virginia","Form 2","Female first",NA,"Dissatisfied","Answer given ","National debt/budget/deficit/balanced budget/Gov spending",NA,NA,"Protect the right of Americans to own guns","Yes, feel strongly","A lot","Isolated acts",NA,NA,NA,NA,"Protect people from becoming victims of crime [OR]","More dangerous","Oppose","Oppose","Oppose","Oppose","Republican Party","Right amount","Yes","Female","56","55-64","50-64","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Independent","Republican","Conservative","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",2.71428571428572,4.29411764705882,NA,2.125,"OVER SPENDING ON THE PART OF THE GOVERNMENT.                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                          "
100357,"Landline",121712,121217,1,"No","English","Midwest","Wisconsin","3","Suburban","Midwest","Wisconsin","Suburban","Female","Black or African-American","PDS - Virginia","Form 2","Male first",NA,"Satisfied","Answer given ","Unemployment/lack of jobs/ Job cuts",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","Numbness/Disassociation/Desensitization/Life is not valued",NA,NA,"Put people","More dangerous","Favor","Oppose","Favor","Favor","Republican Party","Too much","Yes","Male","51","45-54","50-64","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Independent","Democrat","Moderate","1",NA,"Yes, have cell phone",NA,NA,"All or almost all calls on a regular home phone",NA,"Dual from LL","Dual/few, some cell",1.42857142857143,2.05882352941176,NA,1.16666666666667,"UNEMPLOYMENT                                                                                                                                                                                                                                              ","DECENTIZED YOUTH                                                                                                                                                                                                                                          "
100358,"Landline",121712,121217,2,"No","English","Midwest","Illinois","Lowest","Rural","Midwest","Illinois","Rural","Female","Black or African-American","PDS - Virginia","Form 2","Female first",NA,"Dissatisfied","Answer given ","Taxes (unsp)",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","Mental illness/Mental health (general mentions)",NA,NA,"Don't know/Refused (VOL.)","More dangerous","Oppose","Favor","Oppose","Oppose","Republican Party","Too much","Yes","Male","60","55-64","50-64","High school graduate (Grade 12 with diploma or GED certificate)","HS grad","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Democrat",NA,"Conservative","2","2","No, do not","No",NA,NA,NA,"LLO","LLO",3.71428571428572,4.17647058823529,NA,4,"TAXES                                                                                                                                                                                                                                                     ","I WOULD THINK A MENTAL PROBLEM                                                                                                                                                                                                                            "
100360,"Landline",121712,121217,1,"No","English","West","Colorado","3","Urban","West","Colorado","Urban","Female","White","PDS - Virginia","Form 1","Male first",NA,"Dissatisfied","Answer given ","A/O international/foreign issues mentions",NA,NA,"Don't know/Refused (VOL.)",NA,"A lot","Isolated acts",NA,NA,NA,NA,"Put people","More dangerous","Don't know/Refused (VOL.)","Favor","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","Republican Party","Too much","No","Female","63","55-64","50-64","Two year associate degree from any college or university","Some coll/Assoc degree","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Republican",NA,"Very conservative","2","2","No, do not","No",NA,NA,NA,"LLO","LLO",3.0952380952381,4.47058823529412,NA,3.375,"DON''T LIKE HOW OBAMA IS TREATING PEOPLE AROUND THE WORLD                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                          "
100362,"Landline",121712,121217,1,"No","English","West","Colorado","3","Suburban","West","Colorado","Suburban","Male","Black or African-American","PDS - Virginia","Form 2","Female first",NA,"Dissatisfied","Answer given ","Morality/religion/family values (unsp)",NA,NA,"Protect the right of Americans to own guns","Yes, feel strongly","A lot","Broader problems","Answer given","Other",NA,NA,"Protect people from becoming victims of crime [OR]","More dangerous","Don't know/Refused (VOL.)","Oppose","Oppose","Favor","Republican Party","Right amount","Don't know/Refused (VOL.)","Female","59","55-64","50-64","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Republican",NA,"Moderate","2","2","No, do not","(VOL.) Don't know/Refused",NA,NA,NA,"LLO",NA,4.71428571428572,3.88235294117647,NA,6.20833333333333,"EVIL                                                                                                                                                                                                                                                      ","EVIL IN THE UNITED STATES                                                                                                                                                                                                                                 "
100372,"Landline",121712,121217,1,"No","English","Northeast","Maine","2","Rural","Northeast","Maine","Rural","Male","Black or African-American","PDS - Virginia","Form 2","Male first",NA,"Satisfied","Answer given ","Other",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","Guns/Lack of gun control/Access to guns/Access to assault weapons",NA,NA,"Put people","More dangerous","Favor","Oppose","Favor","Favor","Democratic Party","Too much","No","Male","58","55-64","50-64","Postgraduate or professional degree, including master","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Republican",NA,"Moderate","2","2","No, do not","Yes, someone in household has cell phone",NA,NA,"Some on a cell phone and some on a regular home phone","LLO","Dual/few, some cell",3.28571428571428,3.05882352941176,NA,4.66666666666667,"RADICAL TEAPARTY                                                                                                                                                                                                                                          ","EASY ACCESS TO GUNS                                                                                                                                                                                                                                       "
100376,"Landline",121712,121217,1,"No","English","South","Alabama","Lowest","Rural","South","Alabama","Rural","Female","White","PDS - Virginia","Form 2","Female first",NA,"Satisfied","Answer given ","Partisanship/the parties/gridlock",NA,NA,"Protect the right of Americans to own guns","No, don","A lot","Isolated acts",NA,NA,NA,NA,"Protect people from becoming victims of crime [OR]","More dangerous","Oppose","Oppose","Oppose","Oppose","Democratic Party","Right amount","No","Male","45","45-54","30-49","Four year college or university degree/Bachelor","Coll+","No","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,NA,NA,"Black","Black, non-Hisp","No","Democrat",NA,"Moderate","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",1.85714285714286,2.29411764705882,NA,1.25,"REPUBLICANS.                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                          "
100377,"Landline",121712,121217,1,"No","English","Midwest","Wisconsin","Highest","Urban","Midwest","Wisconsin","Urban","Female","Black or African-American","PDS - Virginia","Form 2","Female first",NA,"Satisfied","Answer given ","Gun control/too many guns",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Isolated acts",NA,NA,NA,NA,"Put people","More dangerous","Favor","Oppose","Favor","Favor","Both equally (VOL.)","Too little","No","Male","43","35-44","30-49","High school graduate (Grade 12 with diploma or GED certificate)","HS grad","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Independent","Republican","Very liberal","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",9.28571428571429,17.4705882352941,NA,8.66666666666667,"GUN VIOLANCE                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                          "
100379,"Landline",121712,121217,1,"No","English","Northeast","Pennsylvania","3","Suburban","Northeast","Pennsylvania","Suburban","Female","Black or African-American","PDS - Virginia","Form 1","Male first",NA,"Dissatisfied","Answer given ","Finances/money","Medicare/Medicaid",NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","Other",NA,NA,"Put people","More dangerous","Favor","Oppose","Favor","Favor","Democratic Party","Too much","No","Male","57","55-64","50-64","Some college, no degree includes community college","Some coll/Assoc degree","No","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,NA,NA,"Black","Black, non-Hisp","Yes","Democrat",NA,"Conservative","4","3","No, do not","Yes, someone in household has cell phone",NA,NA,"Some on a cell phone and some on a regular home phone","LLO","Dual/few, some cell",4.28571428571428,7.47058823529412,NA,4.54166666666667,"FINANCES AND MEDICARE                                                                                                                                                                                                                                     ","COLUMBINE, D.C. SNIPER THIS IS JUST OUTRAGEOUS.                                                                                                                                                                                                           "
100381,"Landline",121712,121217,1,"No","English","Northeast","New Jersey","4","Suburban","Northeast","New Jersey","Suburban","Female","Black or African-American","PDS - Virginia","Form 2","Female first",NA,"Dissatisfied","Answer given ","School shootings (Newtown, CT)",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Isolated acts",NA,NA,NA,NA,"Put people","Safer [OR]","Oppose","Oppose","Oppose","Oppose","Both equally (VOL.)","Don't know/Refused (VOL.)","No","Female","52","45-54","50-64","Two year associate degree from any college or university","Some coll/Assoc degree","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","Yes","Independent","(VOL.) Other/Don't know/Refused","Conservative","6","5","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",7.09523809523809,7.35294117647059,NA,6.25,"THE POOR CHILDREN THAT DIED.                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                          "
100384,"Landline",121712,121217,1,"No","English","West","Colorado","Lowest","Rural","West","Colorado","Rural","Female","Black or African-American","PDS - Virginia","Form 1","Female first",NA,"Dissatisfied","Answer given ","School shootings (Newtown, CT)",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","People are angry/depressed/sad",NA,NA,"Protect people from becoming victims of crime [OR]","More dangerous","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","Don't know/Refused (VOL.)","Too much","No","Female","75","65+","65+","Less than high school (Grades 1-8 or no formal schooling)","LT HS","Yes","(VOL.) Hispanic/Latino (e.g., Mexican, Puerto Rican, Cuban)",NA,NA,NA,"Some other race","Hispanic","No","Independent","(VOL.) Other/Don't know/Refused","Liberal","1",NA,"Yes, have cell phone",NA,NA,"Some on a cell phone and some on a regular home phone",NA,"Dual from LL","Dual/few, some cell",4.95238095238095,3.94117647058824,NA,5.70833333333333,"KILLING CHILDREN                                                                                                                                                                                                                                          ","KIDS THAT HAVE PROBLEMS HAVE HATE                                                                                                                                                                                                                         "
